technical_know_how,personal_traits,social_characteristics,motivating_factors
Strategic planners,Inhuman Psyche,Low self-worth,Anger
Well trained,Secretive,Socially inept,Thrill-seeking
Bully,Identity crisis,Anti-state,Experimentation
Resourceful,Incited,Anti-state,Curiosity
Smart,Coward,Anti-state,"Concealed
existence"
Sharp (intelligent),Gullible,Socially inept,Anger
Smart,Impatient,Reinforcement available,Disregard for law
Resourceful,Gullible,Unlawful,Anger
Smart,Strong-willed,Reinforcement available,No fear of punishment
Goal oriented,Loner,Rebellious,Risk tolerance
Bully,Psychiatric conditions,Low self-worth,Risk tolerance
Well trained,Psychiatric conditions,Broken homes/families,Lust
Well-trained,Loner,Rebellious,Need to Control others
Bully,Passionate,Anti-establishment,Intolerance
Opportunists,Impatient,Brain-washed,Political support
Skilful,Loner,Rationalization,Need to Control others
Smart,Coward,Inferiority complex,Political support
Well trained,Risk-taker,Social dissatisfaction,Plain boredom
Well-networked,Incited,Inferiority complex,Political beliefs
Smart,Incited,Mass-destruction,Curiosity
Smart,Strong-willed,Mass-destruction,"Concealed
existence"
Smart,Passionate,Social dissatisfaction,Anger
Smart,Risk-taker,Rebellious,Anger
Goal oriented,Determined,Mass-destruction,Political support
Opportunists,Aggressive,Social dissatisfaction,Revenge
Skilful,Aggressive,Anti-state,Risk tolerance
Resourceful,Passionate,Radical,Lust
Focussed,Identity crisis,Anti-state,"Enhancing self-
worth"
Sharp (intelligent),Gullible,Need to outsmart others,"Concealed
existence"
Smart,Inhuman Psyche,Reinforcement available,"Enhancing self-
worth"
Smart,Secretive,Rationalization,No fear of punishment
Focussed,Insensitive,Rationalization,Monetary Gain
Creative,Vengeful,Intolerance to diversity of opinion,Anger
Smart,Incited,Anti-state,Revenge
Well-trained,Coercive,Reinforcement available,"Greed (easy, quick money)"
Goal oriented,Incited,Reinforcement available,No fear of punishment
Resourceful,Coercive,"Insufficient social
support","Concealed
existence"
Well trained,Insensitive,Lack Social skills,Political support
Strategic planners,Emotional,Rationalization,Curiosity
Goal oriented,Coward,Unlawful,Disregard for law
Focussed,Insensitive,Need to outsmart others,Monetary Gain
Well trained,Strong-willed,Low self-worth,Curiosity
Well-networked,Impatient,Brain-washed,Political support
Skilful,Coercive,Socially inept,Experimentation
Resourceful,Gullible,Brain-washed,No fear of punishment
Creative,Secretive,Radical,Experimentation
Bully,Impatient,Broken homes/families,Political beliefs
Goal oriented,Passionate,Socially inept,Experimentation
Well-trained,Insensitive,Social dissatisfaction,Monetary Gain
Sharp (intelligent),Immoral/ Unethical,Lack Social skills,"Religious
fundamentalism"
Well-organized,Secretive,Misguided,Revenge
Focussed,Psychiatric conditions,Mass-destruction,"Greed (easy, quick money)"
Creative,Coward,Anti-establishment,Risk tolerance
Skilful,Loner,Reinforcement available,"Concealed
existence"
Well-networked,Coward,Rebellious,Risk tolerance
Strategic planners,Incited,Need to outsmart others,"Concealed
existence"
Well-organized,Insensitive,Marginalised,Disregard for law
Well trained,Secretive,Anti-state,Anger
Well-organized,Loner,Anti-state,"Concealed
existence"
Strategic planners,Emotional,Lack Social skills,Lust
Resourceful,Conviction in Violence,Inferiority complex,"Greed (easy, quick money)"
Creative,Chaotic state of mind,Rebellious,"Greed (easy, quick money)"
Well-networked,Coward,Broken homes/families,Political support
Skilful,Immoral/ Unethical,Need to outsmart others,Risk tolerance
Opportunists,Coward,Radical,"Religious
fundamentalism"
Well-trained,Impatient,Mass-destruction,Experimentation
Focussed,Impatient,Rationalization,"Greed (easy, quick money)"
Bully,Loner,Brain-washed,Political beliefs
Creative,Gullible,Anti-state,Lust
Bully,Emotional,Inferiority complex,Lust
Well trained,Identity crisis,Unlawful,Monetary Gain
Well-networked,Risk-taker,Marginalised,No fear of punishment
Goal oriented,Coercive,Rationalization,Anger
Strategic planners,Gullible,"Insufficient social
support",Political support
Resourceful,Identity crisis,Social dissatisfaction,Revenge
Well-networked,Coercive,Low self-worth,Plain boredom
Well-organized,Chaotic state of mind,Broken homes/families,Anger
Sharp (intelligent),Psychiatric conditions,Mass-destruction,"Concealed
existence"
Well-organized,Control freak,Rebellious,Plain boredom
Well-organized,Selfish,Brain-washed,"Greed (easy, quick money)"
Resourceful,Inhuman Psyche,Socially inept,No fear of punishment
Well-trained,Insensitive,Unlawful,"Greed (easy, quick money)"
Focussed,Aggressive,Anti-state,Need to Control others
Resourceful,Emotional,Brain-washed,Plain boredom
Sharp (intelligent),Incited,Lack Social skills,Political support
Skilful,Insensitive,Low self-worth,Thrill-seeking
Skilful,Coercive,Mass-destruction,"Enhancing self-
worth"
Goal oriented,Identity crisis,Radical,Lust
Skilful,Psychiatric conditions,Socially inept,Need to Control others
Creative,Conviction in Violence,Anti-social,"Greed (easy, quick money)"
Focussed,Risk-taker,Intolerance to diversity of opinion,"Enhancing self-
worth"
Well-trained,Vengeful,Mass-destruction,"Greed (easy, quick money)"
Opportunists,Aggressive,Need to outsmart others,Monetary Gain
Well-organized,Risk-taker,Anti-state,Manipulate others
Bully,Secretive,Brain-washed,Disregard for law
Creative,Identity crisis,Inferiority complex,Emotions
Well-trained,Insensitive,Reinforcement available,Monetary Gain
Well-organized,Selfish,Broken homes/families,"Concealed
existence"
Well-networked,Impatient,Broken homes/families,Revenge
Well-networked,Coward,Broken homes/families,Intolerance
Creative,Vengeful,Anti-social,Thrill-seeking
Skilful,Inhuman Psyche,Brain-washed,Risk tolerance
Resourceful,"Psychologically
Deviant","Insufficient social
support",Political beliefs
Creative,Identity crisis,Low self-worth,Political support
Resourceful,Coercive,Unlawful,Lust
Sharp (intelligent),Immoral/ Unethical,Unlawful,Monetary Gain
Bully,Determined,Inferiority complex,"Enhancing self-
worth"
Strategic planners,Risk-taker,Lack Social skills,Plain boredom
Smart,Insensitive,Rebellious,Manipulate others
Sharp (intelligent),Insensitive,Mass-destruction,Risk tolerance
Goal oriented,Impatient,Unlawful,Lust
Well-trained,Strong-willed,Anti-social,"Religious
fundamentalism"
Opportunists,Identity crisis,Rationalization,Intolerance
Well trained,Determined,Rationalization,"Enhancing self-
worth"
Well-organized,Gullible,Brain-washed,Monetary Gain
Well-trained,Emotional,Mass-destruction,Revenge
Goal oriented,Inhuman Psyche,Inferiority complex,Monetary Gain
Sharp (intelligent),Passionate,Intolerance to diversity of opinion,Monetary Gain
Creative,Immoral/ Unethical,Anti-social,Need to Control others
Creative,Gullible,Lack Social skills,"Religious
fundamentalism"
Bully,Psychiatric conditions,Unlawful,Curiosity
Goal oriented,Conviction in Violence,"Insufficient social
support",Need to Control others
Creative,Strong-willed,Radical,Curiosity
Well-networked,Inhuman Psyche,Anti-establishment,"Greed (easy, quick money)"
Creative,Secretive,Need to outsmart others,Intolerance
Smart,Emotional,Reinforcement available,"Greed (easy, quick money)"
Resourceful,Passionate,Inferiority complex,Plain boredom
Goal oriented,Risk-taker,Rebellious,Plain boredom
Strategic planners,Passionate,Inferiority complex,No fear of punishment
Opportunists,Psychiatric conditions,Misguided,Experimentation
Sharp (intelligent),Conviction in Violence,Mass-destruction,Manipulate others
Well trained,Identity crisis,"Insufficient social
support",Political beliefs
Well-trained,Selfish,Marginalised,Manipulate others
Resourceful,Strong-willed,Anti-establishment,Political support
Well trained,Strong-willed,Radical,Emotions
Well-trained,Chaotic state of mind,Need to outsmart others,Manipulate others
Goal oriented,Insensitive,Rebellious,Risk tolerance
Goal oriented,Chaotic state of mind,Social dissatisfaction,Political beliefs
Well trained,Selfish,Misguided,Political beliefs
Opportunists,Vengeful,Misguided,Monetary Gain
Focussed,Selfish,Brain-washed,Emotions
Creative,Secretive,Socially inept,Intolerance
Smart,Psychiatric conditions,Low self-worth,Need to Control others
Focussed,Impatient,Reinforcement available,Curiosity
Strategic planners,Strong-willed,Anti-state,Experimentation
Well trained,Conviction in Violence,Low self-worth,Thrill-seeking
Focussed,Identity crisis,"Insufficient social
support",Need to Control others
Focussed,Conviction in Violence,Low self-worth,No fear of punishment
Opportunists,Aggressive,Social dissatisfaction,Political support
Smart,Psychiatric conditions,Anti-state,Lust
Bully,Coercive,Mass-destruction,Political beliefs
Focussed,Control freak,Social dissatisfaction,Curiosity
Strategic planners,Chaotic state of mind,Anti-state,"Enhancing self-
worth"
Skilful,Control freak,Anti-establishment,Plain boredom
Goal oriented,Loner,Socially inept,"Enhancing self-
worth"
Bully,Impatient,Reinforcement available,Emotions
Well trained,"Psychologically
Deviant",Anti-state,Manipulate others
Strategic planners,Insensitive,Brain-washed,"Enhancing self-
worth"
Well-trained,Passionate,Broken homes/families,"Greed (easy, quick money)"
Well trained,Psychiatric conditions,Marginalised,Monetary Gain
Strategic planners,Secretive,Socially inept,Emotions
Sharp (intelligent),Risk-taker,Brain-washed,"Greed (easy, quick money)"
Well-trained,Selfish,Need to outsmart others,Intolerance
Smart,Identity crisis,Marginalised,Political beliefs
Resourceful,Loner,Marginalised,Monetary Gain
Well trained,Psychiatric conditions,Rebellious,Risk tolerance
Smart,Vengeful,Rebellious,Manipulate others
Goal oriented,Gullible,Lack Social skills,Political beliefs
Sharp (intelligent),Risk-taker,Inferiority complex,Curiosity
Opportunists,Coward,Anti-state,"Greed (easy, quick money)"
Resourceful,"Psychologically
Deviant",Unlawful,Curiosity
Bully,Control freak,Intolerance to diversity of opinion,"Religious
fundamentalism"
Skilful,Emotional,Mass-destruction,Plain boredom
Focussed,Risk-taker,Anti-social,No fear of punishment
Strategic planners,Inhuman Psyche,Radical,Need to Control others
Strategic planners,Immoral/ Unethical,Reinforcement available,Monetary Gain
Bully,Secretive,Reinforcement available,Political beliefs
Opportunists,"Psychologically
Deviant","Insufficient social
support","Greed (easy, quick money)"
Well-networked,Coward,Rationalization,No fear of punishment
Strategic planners,Psychiatric conditions,Anti-state,Need to Control others
Smart,Conviction in Violence,Need to outsmart others,Anger
Skilful,Aggressive,Anti-social,"Concealed
existence"
Smart,Insensitive,Need to outsmart others,Political beliefs
Smart,Risk-taker,Social dissatisfaction,Plain boredom
Creative,Insensitive,Anti-state,Political beliefs
Sharp (intelligent),Insensitive,"Insufficient social
support",Curiosity
Bully,Emotional,Brain-washed,"Greed (easy, quick money)"
Resourceful,Determined,Socially inept,"Enhancing self-
worth"
Well trained,Incited,Need to outsmart others,No fear of punishment
Well trained,Incited,Brain-washed,Plain boredom
Goal oriented,Determined,Radical,Disregard for law
Smart,Risk-taker,Misguided,Manipulate others
Sharp (intelligent),Passionate,Anti-social,"Greed (easy, quick money)"
Opportunists,Coercive,Anti-state,Intolerance
Strategic planners,Identity crisis,Brain-washed,Lust
Smart,Insensitive,Misguided,Monetary Gain
Well trained,Immoral/ Unethical,Anti-state,Experimentation
Opportunists,Selfish,Lack Social skills,Risk tolerance
Resourceful,Gullible,Marginalised,Monetary Gain
Goal oriented,Control freak,Brain-washed,Anger
Creative,Inhuman Psyche,Mass-destruction,Manipulate others
Well-networked,Secretive,Anti-social,Need to Control others
Strategic planners,Coercive,Social dissatisfaction,Anger
Goal oriented,Secretive,Anti-social,Monetary Gain
Creative,Inhuman Psyche,Brain-washed,Emotions
Well trained,Passionate,Rebellious,"Religious
fundamentalism"
Opportunists,Aggressive,Social dissatisfaction,Emotions
Opportunists,Inhuman Psyche,Low self-worth,Political support
Focussed,Secretive,"Insufficient social
support",Manipulate others
Skilful,Emotional,Broken homes/families,Political beliefs
Bully,Chaotic state of mind,Misguided,Curiosity
Creative,Emotional,Brain-washed,Political support
Well-trained,Risk-taker,Broken homes/families,Risk tolerance
Well-networked,Control freak,Social dissatisfaction,Political support
Well trained,Incited,Rationalization,No fear of punishment
Creative,Conviction in Violence,Low self-worth,Emotions
Creative,"Psychologically
Deviant",Unlawful,Experimentation
Goal oriented,Passionate,Brain-washed,Lust
Resourceful,Immoral/ Unethical,Socially inept,Intolerance
Well-networked,Strong-willed,Unlawful,Revenge
Smart,Emotional,Reinforcement available,Need to Control others
Well-networked,Loner,Rebellious,Manipulate others
Strategic planners,Psychiatric conditions,Rebellious,Political beliefs
Goal oriented,Coward,Marginalised,Revenge
Well-organized,Insensitive,Anti-social,Emotions
Well-organized,Psychiatric conditions,Inferiority complex,No fear of punishment
Well-organized,Conviction in Violence,Rationalization,Risk tolerance
Strategic planners,Strong-willed,Socially inept,Curiosity
Well-organized,Psychiatric conditions,Brain-washed,Intolerance
Focussed,Coward,Inferiority complex,Curiosity
Resourceful,Loner,Marginalised,"Greed (easy, quick money)"
Well-trained,Psychiatric conditions,Anti-establishment,"Concealed
existence"
Creative,Loner,Rationalization,Thrill-seeking
Bully,Determined,Lack Social skills,Manipulate others
Well trained,Identity crisis,"Insufficient social
support",Risk tolerance
Resourceful,Loner,Inferiority complex,Manipulate others
Creative,Passionate,Anti-establishment,Political support
Smart,Chaotic state of mind,Lack Social skills,Political support
Well-organized,Impatient,Rationalization,Lust
Skilful,Impatient,"Insufficient social
support","Enhancing self-
worth"
Opportunists,Inhuman Psyche,Low self-worth,Political beliefs
Bully,Conviction in Violence,Socially inept,"Religious
fundamentalism"
Opportunists,Inhuman Psyche,Rebellious,"Greed (easy, quick money)"
Sharp (intelligent),Identity crisis,Radical,Political support
Well-networked,Secretive,Mass-destruction,Experimentation
Well-trained,Strong-willed,Intolerance to diversity of opinion,Emotions
Skilful,Inhuman Psyche,Reinforcement available,Lust
Smart,Chaotic state of mind,Radical,Disregard for law
Goal oriented,"Psychologically
Deviant","Insufficient social
support",Monetary Gain
Bully,Control freak,Lack Social skills,Plain boredom
Focussed,Insensitive,Misguided,Political beliefs
Opportunists,Aggressive,Unlawful,Intolerance
Skilful,Impatient,Unlawful,Emotions
Well-networked,Risk-taker,Misguided,Intolerance
Goal oriented,Strong-willed,Rebellious,No fear of punishment
Well-trained,Inhuman Psyche,Unlawful,Political support
Strategic planners,Passionate,Reinforcement available,Experimentation
Sharp (intelligent),Risk-taker,Unlawful,Anger
Sharp (intelligent),Vengeful,Marginalised,"Enhancing self-
worth"
Goal oriented,Gullible,Brain-washed,Lust
Well trained,"Psychologically
Deviant",Radical,Revenge
Creative,Passionate,Mass-destruction,Revenge
Well trained,Risk-taker,Need to outsmart others,Political beliefs
Smart,Gullible,Need to outsmart others,"Greed (easy, quick money)"
Resourceful,Gullible,Reinforcement available,Experimentation
Well trained,Insensitive,Socially inept,Revenge
Focussed,Coward,Misguided,"Greed (easy, quick money)"
Well-organized,Gullible,Broken homes/families,Experimentation
Smart,Risk-taker,Broken homes/families,"Religious
fundamentalism"
Strategic planners,Loner,Intolerance to diversity of opinion,Lust
Skilful,Vengeful,Lack Social skills,"Religious
fundamentalism"
Well-organized,Inhuman Psyche,Intolerance to diversity of opinion,Lust
Well trained,Psychiatric conditions,Radical,Revenge
Strategic planners,Vengeful,Reinforcement available,"Greed (easy, quick money)"
Resourceful,Passionate,Intolerance to diversity of opinion,Disregard for law
Well-networked,Psychiatric conditions,Marginalised,Anger
Skilful,Determined,Reinforcement available,"Greed (easy, quick money)"
Resourceful,Identity crisis,Inferiority complex,Political beliefs
Well-trained,Inhuman Psyche,Brain-washed,Intolerance
Bully,Risk-taker,"Insufficient social
support",Political beliefs
Sharp (intelligent),Determined,Radical,Anger
Well-trained,Strong-willed,Socially inept,Thrill-seeking
Well-networked,Coward,Rebellious,Thrill-seeking
Sharp (intelligent),Insensitive,Rebellious,Political beliefs
Sharp (intelligent),Control freak,Marginalised,No fear of punishment
